"Marker","pAUC","pAUC_low","pAUC_hi","Biomarker"
"MSTN",0.00654761904761904,0,0.0222232142857141,"No"
"MTPN",0.00912698412698412,0.000396825396825395,0.025,"No"
"MUC13",0.00515873015873016,0,0.0214295634920633,"No"
"MUC16",0.0166666666666667,0.00178571428571429,0.0367063492063492,"No"
"MVK",0.00535714285714284,0,0.0345238095238095,"No"
"MYO9B",0.00714285714285714,0,0.0285714285714286,"No"
"MYOC",0.00317460317460317,0,0.0142857142857143,"No"
"MZB1",0.00555555555555555,0,0.0160714285714286,"No"
"MZT1",0.00496031746031746,0,0.0244047619047619,"No"
"NAAA",0.00218253968253968,0,0.0200406746031744,"No"
"NADK",0.0246031746031746,0.00198313492063492,0.0507936507936508,"No"
"NAMPT",0.0190476190476191,0.000198412698412698,0.0498015873015873,"No"
"NBL1",0.00773809523809523,0.000198412698412698,0.0200406746031744,"No"
"NBN",0.0123015873015873,0.000792658730158737,0.0369047619047619,"No"
"NCAM1",0.0121031746031746,0.00218253968253968,0.0259930555555554,"No"
"NCAM2",0.0111111111111111,0.000595238095238095,0.0363095238095238,"No"
"NCAN",0.0115079365079365,0.00119047619047619,0.0373025793650792,"No"
"NCF2",0.0236111111111111,0.00178571428571428,0.0525793650793651,"No"
"NCK2",0.00694444444444444,0,0.0363095238095238,"No"
"NCLN",0.00793650793650793,0,0.0299603174603174,"No"
"NCR1",0.0287698412698413,0.0130952380952381,0.048015873015873,"Yes"
"NCS1",0.00357142857142857,0,0.0170634920634921,"No"
"NDRG1",0.0109126984126984,0.00178571428571429,0.0251984126984127,"No"
"NDUFS6",0.00496031746031746,0,0.0172619047619048,"No"
"NECTIN2",0.00853174603174603,0.000198412698412698,0.0255952380952381,"No"
"NECTIN4",0.010515873015873,0.000793650793650791,0.0287708333333332,"No"
"NEFL",0.00912698412698412,0,0.0244047619047619,"No"
"NELL1",0.0103174603174603,0.00119047619047619,0.0279761904761905,"No"
"NELL2",0.00992063492063493,0,0.0367063492063492,"No"
"NFASC",0.00615079365079364,0,0.0285724206349205,"No"
"NFATC1",0.00634920634920634,0,0.0253968253968254,"No"
"NFATC3",0.0113095238095238,0.000396825396825395,0.0386914682539681,"No"
"NFKBIE",0.0178571428571429,0,0.0547619047619047,"No"
